Number: 31, Frequency: 501
Number: 45, Frequency: 492
Number: 40, Frequency: 491
Number: 34, Frequency: 481
Number: 20, Frequency: 479
Number: 47, Frequency: 477
Number: 46, Frequency: 474
Number: 43, Frequency: 472
Number: 27, Frequency: 471
Number: 38, Frequency: 466
Number: 9, Frequency: 462
Number: 23, Frequency: 461
Number: 41, Frequency: 460
Number: 4, Frequency: 460
Number: 7, Frequency: 459
Number: 44, Frequency: 455
Number: 21, Frequency: 454
Number: 33, Frequency: 453
Number: 36, Frequency: 452
Number: 49, Frequency: 452
Number: 3, Frequency: 450
Number: 32, Frequency: 448
Number: 12, Frequency: 448
Number: 37, Frequency: 445
Number: 19, Frequency: 445
Number: 42, Frequency: 445
Number: 10, Frequency: 443
Number: 26, Frequency: 443
Number: 22, Frequency: 442
Number: 29, Frequency: 442
Number: 24, Frequency: 441
Number: 30, Frequency: 441
Number: 17, Frequency: 441
Number: 8, Frequency: 441
Number: 2, Frequency: 440
Number: 48, Frequency: 437
Number: 39, Frequency: 434
Number: 35, Frequency: 433
Number: 25, Frequency: 432
Number: 16, Frequency: 432
Number: 11, Frequency: 428
Number: 6, Frequency: 426
Number: 15, Frequency: 426
Number: 5, Frequency: 425
Number: 1, Frequency: 423
Number: 13, Frequency: 423
Number: 18, Frequency: 422
Number: 28, Frequency: 417
Number: 14, Frequency: 399
